district,date,actual_rainfall,warning_level,district_id,district_name,population
Kasaragod,8/14/2018,Orange,Yellow,14,Kasaragod,1302600
Kasaragod,8/15/2018,Red,Red,14,Kasaragod,1302600
Kasaragod,8/16/2018,Green,Orange,14,Kasaragod,1302600
Kasaragod,8/17/2018,Yellow,Yellow,14,Kasaragod,1302600
Kasaragod,8/18/2018,Green,Green,14,Kasaragod,1302600
Kasaragod,8/19/2018,Green,Green,14,Kasaragod,1302600
Kasaragod,8/20/2018,Green,Green,14,Kasaragod,1302600
Kasaragod,8/21/2018,Green,Green,14,Kasaragod,1302600
Kasaragod,8/22/2018,Green,Green,14,Kasaragod,1302600
Kasaragod,8/8/2018,Green,Orange,14,Kasaragod,1302600
Kasaragod,8/9/2018,Green,Yellow,14,Kasaragod,1302600
Kollam,8/10/2018,Yellow,Yellow,2,Kollam,2629703
Kollam,8/11/2018,Green,Yellow,2,Kollam,2629703
Kollam,8/12/2018,Green,Yellow,2,Kollam,2629703
Kollam,8/13/2018,Green,Green,2,Kollam,2629703
Kollam,8/14/2018,Green,Green,2,Kollam,2629703
Kollam,8/15/2018,Red,Yellow,2,Kollam,2629703
Kollam,8/16/2018,Yellow,Orange,2,Kollam,2629703
Kollam,8/17/2018,Yellow,Orange,2,Kollam,2629703
Kollam,8/18/2018,Yellow,Yellow,2,Kollam,2629703
Kollam,8/19/2018,Green,Green,2,Kollam,2629703
Kollam,8/20/2018,Green,Green,2,Kollam,2629703
Kollam,8/21/2018,Green,Green,2,Kollam,2629703
Kollam,8/22/2018,Green,Green,2,Kollam,2629703
Kollam,8/8/2018,Yellow,Yellow,2,Kollam,2629703
Kollam,8/9/2018,Yellow,Green,2,Kollam,2629703
Kottayam,8/10/2018,Orange,Yellow,5,Kottayam,1979384
Kottayam,8/11/2018,Green,Yellow,5,Kottayam,1979384
Kottayam,8/12/2018,Green,Yellow,5,Kottayam,1979384
Kottayam,8/13/2018,Green,Yellow,5,Kottayam,1979384
Kottayam,8/14/2018,Yellow,Yellow,5,Kottayam,1979384
Kottayam,8/15/2018,Red,Yellow,5,Kottayam,1979384
Kottayam,8/16/2018,Red,Orange,5,Kottayam,1979384
Kottayam,8/17/2018,Red,Orange,5,Kottayam,1979384
Kottayam,8/18/2018,Orange,Yellow,5,Kottayam,1979384
Kottayam,8/19/2018,Green,Yellow,5,Kottayam,1979384
Kottayam,8/20/2018,Green,Green,5,Kottayam,1979384
Kottayam,8/21/2018,Green,Green,5,Kottayam,1979384
Kottayam,8/22/2018,Green,Green,5,Kottayam,1979384
Kottayam,8/8/2018,Orange,Orange,5,Kottayam,1979384
Kottayam,8/9/2018,Red,Yellow,5,Kottayam,1979384
Malappuram,8/10/2018,Yellow,Orange,10,Malappuram,4110956
Malappuram,8/11/2018,Green,Red,10,Malappuram,4110956
Malappuram,8/12/2018,Green,Red,10,Malappuram,4110956
Malappuram,8/13/2018,Yellow,Orange,10,Malappuram,4110956
Malappuram,8/14/2018,Orange,Yellow,10,Malappuram,4110956
Malappuram,8/15/2018,Red,Yellow,10,Malappuram,4110956
Malappuram,8/16/2018,Red,Red,10,Malappuram,4110956
Malappuram,8/17/2018,Yellow,Red,10,Malappuram,4110956
Malappuram,8/18/2018,Orange,Yellow,10,Malappuram,4110956
Malappuram,8/19/2018,Green,Yellow,10,Malappuram,4110956
Malappuram,8/20/2018,Green,Green,10,Malappuram,4110956
Malappuram,8/21/2018,Green,Green,10,Malappuram,4110956
Malappuram,8/22/2018,Green,Green,10,Malappuram,4110956
Malappuram,8/8/2018,Orange,Orange,10,Malappuram,4110956
Malappuram,8/9/2018,Red,Yellow,10,Malappuram,4110956
Palakkad,8/10/2018,Yellow,Red,9,Palakkad,2810892
Palakkad,8/11/2018,Green,Red,9,Palakkad,2810892
Palakkad,8/12/2018,Green,Red,9,Palakkad,2810892
Palakkad,8/13/2018,Yellow,Orange,9,Palakkad,2810892
Palakkad,8/14/2018,Orange,Yellow,9,Palakkad,2810892
Palakkad,8/15/2018,Red,Yellow,9,Palakkad,2810892
Palakkad,8/16/2018,Red,Red,9,Palakkad,2810892
Palakkad,8/17/2018,Orange,Red,9,Palakkad,2810892
Palakkad,8/18/2018,Yellow,Yellow,9,Palakkad,2810892
Palakkad,8/19/2018,Green,Yellow,9,Palakkad,2810892
Palakkad,8/20/2018,Green,Green,9,Palakkad,2810892
Palakkad,8/21/2018,Green,Green,9,Palakkad,2810892
Palakkad,8/22/2018,Green,Green,9,Palakkad,2810892
Palakkad,8/8/2018,Yellow,Orange,9,Palakkad,2810892
Palakkad,8/9/2018,Red,Yellow,9,Palakkad,2810892
Pathanamthitta,8/10/2018,Yellow,Yellow,3,Pathanamthitta,1195537
Pathanamthitta,8/11/2018,Green,Orange,3,Pathanamthitta,1195537
Pathanamthitta,8/12/2018,Green,Yellow,3,Pathanamthitta,1195537
Pathanamthitta,8/13/2018,Yellow,Orange,3,Pathanamthitta,1195537
Pathanamthitta,8/14/2018,Orange,Yellow,3,Pathanamthitta,1195537
Pathanamthitta,8/15/2018,Red,Yellow,3,Pathanamthitta,1195537
Pathanamthitta,8/16/2018,Red,Orange,3,Pathanamthitta,1195537
Pathanamthitta,8/17/2018,Red,Red,3,Pathanamthitta,1195537
Pathanamthitta,8/18/2018,Orange,Yellow,3,Pathanamthitta,1195537
Pathanamthitta,8/19/2018,Green,Yellow,3,Pathanamthitta,1195537
Pathanamthitta,8/20/2018,Green,Green,3,Pathanamthitta,1195537
Pathanamthitta,8/21/2018,Green,Green,3,Pathanamthitta,1195537
Pathanamthitta,8/22/2018,Green,Green,3,Pathanamthitta,1195537
Pathanamthitta,8/8/2018,Yellow,Yellow,3,Pathanamthitta,1195537
Pathanamthitta,8/9/2018,Red,Yellow,3,Pathanamthitta,1195537
Thiruvananthapuram,8/10/2018,Green,Yellow,1,Thiruvananthapuram,3307284
Thiruvananthapuram,8/11/2018,Green,Green,1,Thiruvananthapuram,3307284
Thiruvananthapuram,8/12/2018,Green,Green,1,Thiruvananthapuram,3307284
Thiruvananthapuram,8/13/2018,Green,Green,1,Thiruvananthapuram,3307284
Thiruvananthapuram,8/14/2018,Green,Green,1,Thiruvananthapuram,3307284
Thiruvananthapuram,8/15/2018,Red,Yellow,1,Thiruvananthapuram,3307284
Thiruvananthapuram,8/16/2018,Yellow,Orange,1,Thiruvananthapuram,3307284
Thiruvananthapuram,8/17/2018,Green,Yellow,1,Thiruvananthapuram,3307284
Thiruvananthapuram,8/18/2018,Green,Green,1,Thiruvananthapuram,3307284
Thiruvananthapuram,8/19/2018,Green,Green,1,Thiruvananthapuram,3307284
Thiruvananthapuram,8/20/2018,Green,Green,1,Thiruvananthapuram,3307284
Thiruvananthapuram,8/21/2018,Green,Green,1,Thiruvananthapuram,3307284
Thiruvananthapuram,8/22/2018,Green,Green,1,Thiruvananthapuram,3307284
Thiruvananthapuram,8/8/2018,Green,Yellow,1,Thiruvananthapuram,3307284
Thiruvananthapuram,8/9/2018,Green,Green,1,Thiruvananthapuram,3307284
Thrissur,8/10/2018,Green,Yellow,8,Thrissur,3110327
Thrissur,8/11/2018,Green,Yellow,8,Thrissur,3110327
Thrissur,8/12/2018,Green,Yellow,8,Thrissur,3110327
Thrissur,8/13/2018,Green,Yellow,8,Thrissur,3110327
Thrissur,8/14/2018,Green,Yellow,8,Thrissur,3110327
Thrissur,8/15/2018,Red,Yellow,8,Thrissur,3110327
Thrissur,8/16/2018,Red,Orange,8,Thrissur,3110327
Thrissur,8/17/2018,Red,Red,8,Thrissur,3110327
Thrissur,8/18/2018,Green,Yellow,8,Thrissur,3110327
Thrissur,8/19/2018,Green,Yellow,8,Thrissur,3110327
Thrissur,8/20/2018,Green,Green,8,Thrissur,3110327
Thrissur,8/21/2018,Green,Green,8,Thrissur,3110327
Thrissur,8/22/2018,Green,Green,8,Thrissur,3110327
Thrissur,8/8/2018,Orange,Orange,8,Thrissur,3110327
Thrissur,8/9/2018,Green,Yellow,8,Thrissur,3110327
Wayanad,8/10/2018,Yellow,Red,12,Wayanad,817420
Wayanad,8/11/2018,Green,Red,12,Wayanad,817420
Wayanad,8/12/2018,Green,Red,12,Wayanad,817420
Wayanad,8/13/2018,Yellow,Red,12,Wayanad,817420
Wayanad,8/14/2018,Orange,Red,12,Wayanad,817420
Wayanad,8/15/2018,Red,Red,12,Wayanad,817420
Wayanad,8/16/2018,Orange,Red,12,Wayanad,817420
Wayanad,8/17/2018,Orange,Red,12,Wayanad,817420
Wayanad,8/18/2018,Yellow,Yellow,12,Wayanad,817420
Wayanad,8/19/2018,Green,Yellow,12,Wayanad,817420
Wayanad,8/20/2018,Green,Green,12,Wayanad,817420
Wayanad,8/21/2018,Green,Green,12,Wayanad,817420
Wayanad,8/22/2018,Green,Green,12,Wayanad,817420
Wayanad,8/8/2018,Red,Orange,12,Wayanad,817420
Wayanad,8/9/2018,Red,Yellow,12,Wayanad,817420
